ID,User_ID,Batch_ID,Sample_ID,Measurement_Date-Time,Isc_(A),Voc_(V),Imp_(A),Vmp_(V),Pmp_(W),FF_(percent),Efficiency_(percent),Rsh_(ohm),Rs_(ohm),Jsc_(A/cm2),Voc_(V/cell),Jmp_(A/cm2),Vmp_(V/cell),Pmp_(W/cm2),Cell_Efficiency_(percent),Rsh_(ohm-cm2),Rs_(ohm-cm2),ILoad_(A),VLoad_(V),FFLoad_(percent),PLoad_(W),EffLoad_(percent),RsLoad_(ohm),JLoad_(A/cm2),VLoad_(V/cell),PLoad_(W/cm2),Cell_EffLoad_(percent),RsLoad_(ohm-cm2),Rs_Modulation_(ohm-cm2),Measured_Temperature_(C),Total_Test_Time_(s),pJmp_(A/cm2),pVmp_(V/cell),pPmp_(W/cm2),pFF_(percent),pEfficiency_(percent),n_at_1_sun,n_at_ 1/10_suns,Jo1_(A/cm2),Jo2_(A/cm2),Jo_(fA/cm2),Est_Bulk_Lifetime_(us),BRR_(Hz),Lifetime_at_Vmp_(us),Doping_(cm-3),Measured_Resistivity_(Ohm-cm),Lifetime_Fit_R2,Max_Intensity_(suns),Intensity_@_flash_cutoff_(suns),V_at_Isc_(V),dV/dt,V_Pad_0_(V),V_Pad_1_(V),V_Pad_2_(V),V_Pad_3_(V),V_Pad_4_(V),Pm/Pe,Resistivity_(ohm-cm),Sample_Type,Thickness_(cm),Cell_Area_(cm2),Total_Area_(cm2),Number_of_Cells_per_String,Number_of_Strings,Temperature_(C),Intensity_(suns),Analysis_Type,Nominal_Load_Voltage_(mV/cell),Rs_Modulation_Target_(ohm-cm2),Reference_Constant_(V/sun),Voltage_Temperature_Coefficient_(mV/C),Temperature_Offset_(C),Power_per_Sun_(W/m2),Conductivity_Modulation_(ohm-cm2/V),Auger_Coefficient,Auger_Method,Band_Gap_Narrowing,Fit_Method,Carrier_Density_Center_Point_(cm-3),Percent_Fit,Lower_Bound_(cm-3),Upper_Bound_(cm-3),Rsh_Lifetime_Correction,Rsh_Measurement_Method,SunsVoc_Rsh_Voltage_(V),Do_Dark_Break_Measurement,Temperature_Measurement_Method,Number_of_dRsh_Points,dRsh_Output_Vlimit_(V),Current_Transfer,Voltage_Transfer,Temperature_Transfer,Final_Bin,Bin_Index,Tester_ID,Do_Doping_Measurement,Doping_Sample_Time_(us),Doping_Measurement_Length_(us),Measurement_Type,Comments,Calibration,dBreak_(V),dBreak_(A),Dark_Break_Interpolated,Measurement_Date-Time_String,Software Version
1,"Katy","Bare Cell","C210","01/20/17 13:19:48",8.82197,0.6201179999999999,8.314499,0.519953,4.323153,79.024315,17.790752,442.790595,0.002687,0.036304,0.6201179999999999,0.034216,0.519953,0.017791,17.790752,107598.114527,0.652846,8.314499,0.519953,79.024315,4.323153,17.790752,0.002687,0.034216,0.519953,0.017791,17.790752,0.652846,0.697627,24.702248,24.877423,0.034519,0.538095,0.018575,82.505703,18.574517,1.094622,1.05813,1.395702e-12,6.583991e-09,,,,35.177983,9008240000000000,1.621638,,1.177959,0.891815,-0.000383,2.324909,0.519953,,,,,0.965048,3,"p-type",0.02,243,243,1,1,25,1,"Generalized",540,0.665478,0.262345,2.2,0,1000,1.853969,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"False","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","w/defaultKatyCal.mfi","False",,,"False","01/20/17 13:19:48","MultiFlash v1.27"
2,"Katy","Bare Cell","C210","01/20/17 13:21:40",8.821899,0.620186,8.311373,0.520023,4.322109,78.997201,17.786458,474.514256,0.002712,0.036304,0.620186,0.034203,0.520023,0.017786,17.786458,115306.964213,0.6591360000000001,8.311373,0.520023,78.997201,4.322109,17.786458,0.002712,0.034203,0.520023,0.017786,17.786458,0.6591360000000001,0.706199,24.807745,24.12538,0.034527,0.538098,0.018579,82.516082,18.578744,1.099792,1.057742,1.393827e-12,6.454168e-09,,,,35.341185,8957147000000000,1.630365,,1.179364,0.89238,-7.667917e-05,2.32493,0.520023,,,,,0.964815,3,"p-type",0.02,243,243,1,1,25,1,"Generalized",540,0.668909,0.262345,2.2,0,1000,2.073003,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"False","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","w/defaultKatyCal.mfi","False",,,"False","01/20/17 13:21:40","MultiFlash v1.27"
3,"Katy","Bare Cell","C211","01/20/17 13:24:10",8.847759999999999,0.613152,8.315448,0.513988,4.27404,78.783858,17.588641,425.850078,0.0026,0.036411,0.613152,0.03422,0.513988,0.017589,17.588641,103481.569018,0.631791,8.315448,0.513988,78.783858,4.27404,17.588641,0.0026,0.03422,0.513988,0.017589,17.588641,0.631791,0.675916,24.709652,24.411397,0.034561,0.530962,0.01835,82.19631200000001,18.350477,1.108135,1.07738,1.814211e-12,1.030944e-08,,,,25.903881,6603697000000000,2.176878,,1.184765,0.89166,-0.000124,2.232031,0.513988,,,,,0.954084,3,"p-type",0.02,243,243,1,1,25,1,"Generalized",540,0.642365,0.262345,2.2,0,1000,1.924293,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"False","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","w/defaultKatyCal.mfi","False",,,"False","01/20/17 13:24:10","MultiFlash v1.27"
4,"Katy","Bare Cell","C212","01/20/17 13:25:56",8.988799999999999,0.626426,8.414479999999999,0.522358,4.395371,78.05914199999999,18.087947,523.417377,0.002909,0.036991,0.626426,0.034627,0.522358,0.018088,18.087947,127190.422642,0.706802,8.414479999999999,0.522358,78.05914199999999,4.395371,18.087947,0.002909,0.034627,0.522358,0.018088,18.087947,0.706802,0.755444,24.775664,25.87148,0.035056,0.541009,0.018966,81.84692699999999,18.965656,1.199998,1.133934,1.092067e-12,1.566583e-08,,,,37.165468,6824980000000000,2.109608,,1.181929,0.891864,0.000816,2.501466,0.522358,,,,,0.981169,3,"p-type",0.02,243,243,1,1,25,1,"Generalized",540,0.729716,0.262345,2.2,0,1000,2.796157,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"False","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","w/defaultKatyCal.mfi","False",,,"False","01/20/17 13:25:56","MultiFlash v1.27"
5,"Katy","Bare Cell","C213","01/20/17 13:30:35",8.868878,0.614355,8.368066000000001,0.508286,4.253368,78.062882,17.503572,668.979683,0.003294,0.036497,0.614355,0.034436,0.508286,0.017504,17.503572,162562.062947,0.800442,8.368066000000001,0.508286,78.062882,4.253368,17.503572,0.003294,0.034436,0.508286,0.017504,17.503572,0.800442,0.858221,24.739264,24.637409,0.034731,0.53184,0.018471,82.37907800000001,18.471367,1.128719,1.045581,1.798206e-12,6.822691e-09,,,,27.767779,7386193000000000,1.956913,,1.187516,0.891307,4.846881e-05,2.846716,0.508286,,,,,0.94947,3,"p-type",0.02,243,243,1,1,25,1,"Generalized",540,0.811606,0.262345,2.2,0,1000,1.82018,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"False","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","w/defaultKatyCal.mfi","False",,,"False","01/20/17 13:30:35","MultiFlash v1.27"
6,"Katy","Bare Cell","C214","01/20/17 13:32:48",8.908348999999999,0.616615,8.393545,0.514221,4.316138,78.574939,17.761885,508.05607,0.002841,0.03666,0.616615,0.034541,0.514221,0.017762,17.761885,123457.62511,0.690339,8.393545,0.514221,78.574939,4.316138,17.761885,0.002841,0.034541,0.514221,0.017762,17.761885,0.690339,0.710625,24.772579,24.222386,0.034854,0.533809,0.018606,82.30732399999999,18.605592,1.16236,1.056464,1.649343e-12,7.727768e-09,,,,29.440442,7651222000000000,1.892518,,1.180253,0.891922,0.000406,2.291037,0.514221,,,,,0.9634819999999999,3,"p-type",0.02,243,243,1,1,25,1,"Generalized",540,0.7006019999999999,0.262345,2.2,0,1000,1.288363,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"False","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","w/defaultKatyCal.mfi","False",,,"False","01/20/17 13:32:48","MultiFlash v1.27"
7,"Katy","Bare Cell","C215","01/20/17 13:34:46",8.872833,0.613825,8.35806,0.513835,4.294663,78.853694,17.673511,410.852803,0.002731,0.036514,0.613825,0.034395,0.513835,0.017674,17.673511,99837.231046,0.663673,8.35806,0.513835,78.853694,4.294663,17.673511,0.002731,0.034395,0.513835,0.017674,17.673511,0.663673,0.700092,24.770728,24.452398,0.034742,0.531973,0.018482,82.45912800000001,18.481598,1.127416,1.04244,1.820892e-12,5.807833e-09,,,,27.869522,7848503000000000,1.847381,,1.174426,0.890768,0.000109,2.301077,0.513835,,,,,0.958688,3,"p-type",0.02,243,243,1,1,25,1,"Generalized",540,0.671691,0.262345,2.2,0,1000,1.716712,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"False","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","w/defaultKatyCal.mfi","False",,,"False","01/20/17 13:34:46","MultiFlash v1.27"
8,"Katy","Bare Cell","C216","01/20/17 13:37:07",8.852378,0.611814,8.353808000000001,0.508038,4.244051,78.36121300000001,17.46523,328.912734,0.003175,0.03643,0.611814,0.034378,0.508038,0.017465,17.46523,79925.794381,0.771573,8.353808000000001,0.508038,78.36121300000001,4.244051,17.46523,0.003175,0.034378,0.508038,0.017465,17.46523,0.771573,0.812995,24.754071,24.033375,0.03467,0.530578,0.018395,82.532939,18.395029,1.100375,1.035514,1.957706e-12,4.484134e-09,,,,26.52245,7508946000000000,1.926528,,1.189396,0.889468,1.121468e-05,2.705879,0.508038,,,,,0.94739,3,"p-type",0.02,243,243,1,1,25,1,"Generalized",540,0.775386,0.262345,2.2,0,1000,1.677216,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"False","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","w/defaultKatyCal.mfi","False",,,"False","01/20/17 13:37:07","MultiFlash v1.27"
9,"Katy","Bare Cell","C216","01/20/17 13:38:42",8.853418,0.611916,8.360841000000001,0.510239,4.266029,78.744631,17.555673,307.548508,0.00288,0.036434,0.611916,0.034407,0.510239,0.017556,17.555673,74734.28750400001,0.699861,8.360841000000001,0.510239,78.744631,4.266029,17.555673,0.00288,0.034407,0.510239,0.017556,17.555673,0.699861,0.744977,24.813297,24.858422,0.034671,0.530693,0.0184,82.530833,18.399785,1.102341,1.034547,1.950918e-12,4.537892e-09,,,,26.586643,7526437000000000,1.922278,,1.185349,0.890922,4.235678e-05,2.471005,0.510239,,,,,0.952296,3,"p-type",0.02,243,243,1,1,25,1,"Generalized",540,0.705411,0.262345,2.2,0,1000,1.74784,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"False","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","w/defaultKatyCal.mfi","False",,,"False","01/20/17 13:38:42","MultiFlash v1.27"
10,"Katy","Bare Cell","C217","01/20/17 13:40:17",8.984773000000001,0.642979,8.497928,0.541507,4.601685,79.654938,18.936976,603.773781,0.002413,0.036974,0.642979,0.034971,0.541507,0.018937,18.936976,146717.028789,0.586266,8.497928,0.541507,79.654938,4.601685,18.936976,0.002413,0.034971,0.541507,0.018937,18.936976,0.586266,0.605131,24.775664,25.317448,0.035212,0.5585599999999999,0.019668,82.730215,19.668085,1.101846,1.080438,5.91363e-13,5.904509e-09,,,,78.617222,7978643000000000,1.818815,,1.184861,0.890726,0.000647,2.022561,0.541507,,,,,1.027224,3,"p-type",0.02,243,243,1,1,25,1,"Generalized",540,0.594109,0.262345,2.2,0,1000,1.558331,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"False","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","w/defaultKatyCal.mfi","False",,,"False","01/20/17 13:40:17","MultiFlash v1.27"
