ID,User_ID,Batch_ID,Sample_ID,Measurement_Date-Time,Isc_(A),Voc_(V),Imp_(A),Vmp_(V),Pmp_(W),FF_(percent),Efficiency_(percent),Rsh_(ohm),Rs_(ohm),Jsc_(A/cm2),Voc_(V/cell),Jmp_(A/cm2),Vmp_(V/cell),Pmp_(W/cm2),Cell_Efficiency_(percent),Rsh_(ohm-cm2),Rs_(ohm-cm2),ILoad_(A),VLoad_(V),FFLoad_(percent),PLoad_(W),EffLoad_(percent),RsLoad_(ohm),JLoad_(A/cm2),VLoad_(V/cell),PLoad_(W/cm2),Cell_EffLoad_(percent),RsLoad_(ohm-cm2),Rs_Modulation_(ohm-cm2),Measured_Temperature_(C),Total_Test_Time_(s),pJmp_(A/cm2),pVmp_(V/cell),pPmp_(W/cm2),pFF_(percent),pEfficiency_(percent),n_at_1_sun,n_at_ 1/10_suns,Jo1_(A/cm2),Jo2_(A/cm2),Jo_(fA/cm2),Jo_at_Vmp_(fA/cm2),Jo_at_Voc_(fA/cm2),Est_Bulk_Lifetime_(us),BRR_(Hz),Lifetime_at_Vmp_(us),Doping_(cm-3),Measured_Resistivity_(Ohm-cm),Lifetime_Fit_R2,Max_Intensity_(suns),Intensity_@_flash_cutoff_(suns),V_at_Isc_(V),dV/dt,V_Pad_0_(V),V_Pad_1_(V),V_Pad_2_(V),V_Pad_3_(V),V_Pad_4_(V),dBreak_(A),dBreak_(V),Capacitance_(uF/cm2),Pmp_Error_due_to_Capacitance_(percent),Pm/Pe,Total_IV_Curve_Loss_(percent),BulkSRH_AND_Jo_Power_Loss_(percent),BulkSRH_Power_Loss_(percent),Jo_Power_Loss_(percent),Rs_Power_Loss_(percent),Rsh_Power_Loss_(percent),Richter_Limit_Efficiency_(percent),Delta_Power_per_(fA/cm2)_at_pVmp_(percent),Dark_Break_Interpolated,Calibration,Resistivity_(ohm-cm),Analysis_Resistivity_(ohm-cm),Sample_Type,Thickness_(cm),Cell_Area_(cm2),Total_Area_(cm2),Number_of_Cells_per_String,Number_of_Strings,Temperature_(C),Intensity_(suns),Analysis_Type,Nominal_Load_Voltage_(mV/cell),Rs_Modulation_Target_(ohm-cm2),Reference_Constant_(V/sun),Voltage_Temperature_Coefficient_(mV/C),Temperature_Offset_(C),Power_per_Sun_(W/m2),Conductivity_Modulation_(ohm-cm2/V),Auger_Coefficient,Auger_Method,Band_Gap_Narrowing,Fit_Method,Carrier_Density_Center_Point_(cm-3),Percent_Fit,Lower_Bound_(cm-3),Upper_Bound_(cm-3),Rsh_Lifetime_Correction,Rsh_Measurement_Method,SunsVoc_Rsh_Voltage_(V),Do_Dark_Break_Measurement,Temperature_Measurement_Method,Number_of_dRsh_Points,dRsh_Output_Vlimit_(V),Current_Transfer,Voltage_Transfer,Temperature_Transfer,Final_Bin,Bin_Index,Tester_ID,Do_Doping_Measurement,Doping_Sample_Time_(us),Doping_Measurement_Length_(us),Measurement_Type,Comments,Measurement_Date-Time_String,Software_Version,Recipe_Filename,EL_Pulse_Charge_Delivered_(C),Forward_Dark_IV_(V),Forward_Dark_IV_(A),Forward_Dark_IV_Interpolated?,EL_Pulse_Energy _Delivered_(J),EL_Pulse_Current_(A),Doping_Calibration_Factor_(V/sun),Vmp_Correction_Factor_(percent)
12,"Donald","BTF-GT-BS300-PT648","112","02/01/23 12:19:29",11.171997,0.653121,9.339686,0.532083,4.96949,68.106301,18.703388,60.384431,0.00394,0.042047,0.653121,0.035151,0.532083,0.018703,18.703388,16044.143248,1.046859,9.339686,0.532083,68.106301,4.96949,18.703388,0.00394,0.035151,0.532083,0.018703,18.703388,1.046859,1.108422,26.39645,15.555162,0.035756,0.563825,0.02016,73.411767,20.160378,1.157476,6.775171,3.14132e-14,9.724542e-08,,1853.947489,383.448632,,,5.317985,3.40293e+16,0.480537,,1.251206,0.808926,-0.010052,4.563923,0.532083,,,,,-8.110149,-15,1.007023,-0.000726,0.992542,30.797325,25.945505,,,4.779024,0.072796,27.218633,0.00696,"False","False",3,0.480537,"p-type",0.018,265.7,265.7,1,1,25,1,"Generalized",562,1.032005,0.331076,2.2,0,1000,7.20942,1.66e-30,"Sinton & Swanson (1987)","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",10,"True","RTD (Internal)",5,10,-0.05,2,0.01,"A",0,"21-134988","True",0,0,"Hunt",,"02/01/23 12:19:29","MultiFlash v1.60.0.3","BTF_EEPV_by Karoline.mfi",,0.65,6.527242,"True",,,0.226951,0
13,"Donald","BTF-GT-BS300-PT665","110","02/01/23 12:20:50",11.179878,0.652401,9.23184,0.5072489999999999,4.682846,64.203395,17.62456,39.87738,0.008247000000000001,0.042077,0.652401,0.034745,0.5072489999999999,0.017625,17.62456,10595.419775,2.191343,9.23184,0.5072489999999999,64.203395,4.682846,17.62456,0.008247000000000001,0.034745,0.5072489999999999,0.017625,17.62456,2.191343,2.511531,26.317758,15.533803,0.036569,0.564981,0.020661,75.263898,20.660793,1.11583,5.129403,6.98393e-14,8.683234e-08,,1551.842593,394.6229,,,8.501144,3.070157e+16,0.52628,,1.253016,0.809176,-0.01053,10.167362,0.5072489999999999,,,,,-5.239142,-15,1.961924,-0.007319,0.969552,35.060347,24.204988,,,10.744824,0.110535,27.255217,0.007302,"False","False",3,0.52628,"p-type",0.018,265.7,265.7,1,1,25,1,"Generalized",562,2.210909,0.331076,2.2,0,1000,16.967019,1.66e-30,"Sinton & Swanson (1987)","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",10,"True","RTD (Internal)",5,10,-0.05,2,0.01,"A",0,"21-134988","True",0,0,"Hunt",,"02/01/23 12:20:50","MultiFlash v1.60.0.3","BTF_EEPV_by Karoline.mfi",,0.65,5.865777,"True",,,0.226951,0
14,"Donald","BTF-GT-BS300-PT665","109","02/01/23 12:22:16",11.125044,0.652358,8.990717999999999,0.479653,4.312424,59.42016,16.230425,36.706392,0.012146,0.041871,0.652358,0.033838,0.479653,0.01623,16.230425,9752.888389,3.227165,8.990717999999999,0.479653,59.42016,4.312424,16.230425,0.012146,0.033838,0.479653,0.01623,16.230425,3.227165,4.000061,26.333492,15.404673,0.036533,0.563762,0.020596,75.40259,20.595974,1.123994,4.725265,7.587797e-14,8.462944e-08,,1576.859858,393.350877,,,9.990831,2.871999e+16,0.558426,,1.252826,0.803085,-0.010577,16.990536,0.479653,,,,,-3.799954,-15,2.593158,-0.025159,0.946306,39.821535,24.138453,,,15.563011,0.120071,27.140573,0.007244,"False","False",3,0.558426,"p-type",0.018,265.7,265.7,1,1,25,1,"Generalized",562,3.687064,0.331076,2.2,0,1000,26.91723,1.66e-30,"Sinton & Swanson (1987)","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",10,"True","RTD (Internal)",5,10,-0.05,2,0.01,"A",0,"21-134988","True",0,0,"Hunt",,"02/01/23 12:22:16","MultiFlash v1.60.0.3","BTF_EEPV_by Karoline.mfi",,0.65,4.547873,"True",,,0.226951,0
1,"Donald","calibration","REF-EEPV-05","02/01/23 11:40:25",11.712296,,,,,,,,,0.044081,,,,,,,,11.712296,0.001729,,0.020255,0.076233,-0.000148,0.044081,0.001729,7.623346000000001e-05,0.076233,-0.039232,0.277936,27.431675,125.989959,,,,,,,,,,,0,0,,,,,,,1.266772,0.809184,0.001729,1.23345,0.001729,,,,,,0,0,0,,0,0,0,0,0,0,0,0,"False","True",3,0,"p-type",0.018,265.7,265.7,1,1,25,1,"Generalized",562,0.277192,0.331076,2.2,0,1000,,1.66e-30,"Sinton & Swanson (1987)","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",10,"True","RTD (Internal)",5,10,-0.05,2,0.01,"A",0,"21-134988","True",0,0,"Full IV",,"02/01/23 11:40:25","MultiFlash v1.60.0.3","BTF_EEPV_by Karoline.mfi",0,0,0,"False",0,0,0.226951,0
2,"Donald","calibration","REF-EEPV-05","02/01/23 11:41:00",11.714771,0.678123,10.563415,0.600684,6.345273,79.87442,23.881342,337.507207,0.001315,0.04409,0.678123,0.039757,0.600684,0.023881,23.881342,89675.664816,0.349512,11.709699,0.010407,1.534042,0.121865,0.458657,0.030397,0.044071,0.010407,0.000459,0.458657,8.076357,0.262807,27.266276,26.750889,0.041978,0.594006,0.024935,83.398166,24.934894,1.015075,1.11772,1.413528e-13,5.151443e-09,,192.335726,151.943933,,,30.015748,4.048603e+16,0.412764,,1.269284,0.809907,-0.00206,1.174606,0.600684,,,,,-0.7253230000000001,-15,5.003938,0.004878,,15.189159,12.983446,,,2.191978,0.013735,28.646887,0.022815,"False","False",3,0.412764,"p-type",0.018,265.7,265.7,1,1,25,1,"Generalized",562,0.336859,0.331076,2.2,0,1000,0.377326,1.66e-30,"Sinton & Swanson (1987)","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",10,"True","RTD (Internal)",5,10,-0.05,2,0.01,"A",0,"21-134988","True",0,0,"Full IV",,"02/01/23 11:41:00","MultiFlash v1.60.0.3","BTF_EEPV_by Karoline.mfi",,0.65,4.048479,"True",,,0.226951,0
3,"Donald","calibration","REF-EEPV-05","02/01/23 11:41:24",11.710424,0.678122,11.127235,0.580561,6.460034,81.34941000000001,24.313265,301.04518,0.001265,0.044074,0.678122,0.041879,0.580561,0.024313,24.313265,79987.70441400001,0.336202,11.124472,0.58066,81.343176,6.459539,24.311402,0.00127,0.041869,0.58066,0.024311,24.311402,0.337552,0.292503,27.194017,15.725614,0.041958,0.594075,0.024926,83.399573,24.926006,1.014643,1.116548,1.414023e-13,5.109676e-09,,192.135232,151.896201,,,27.917515,4.050519e+16,0.412594,,1.270299,0.810171,-0.002499,1.303624,0.580561,,,,,-0.72672,-15,2.304536,0.001072,0.999959,15.057541,12.979839,,,2.062294,0.015408,28.635479,0.023368,"False","False",3,0.412594,"p-type",0.018,265.7,265.7,1,1,25,1,"Generalized",562,0.318576,0.331076,2.2,0,1000,-0.370682,1.66e-30,"Sinton & Swanson (1987)","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",10,"True","RTD (Internal)",5,10,-0.05,2,0.01,"A",0,"21-134988","True",0,0,"Hunt",,"02/01/23 11:41:24","MultiFlash v1.60.0.3","BTF_EEPV_by Karoline.mfi",,0.65,4.070969,"True",,,0.226951,0
4,"Donald","BTF-GT-BS300-PT565","120","02/01/23 11:44:05",10.209127,0.667583,7.060024,0.382226,2.698522,39.594263,10.156275,213.994962,0.036083,0.038424,0.667583,0.026571,0.382226,0.010156,10.156275,56858.461464,9.587274000000001,7.060024,0.382226,39.594263,2.698522,10.156275,0.036083,0.026571,0.382226,0.010156,10.156275,9.587274000000001,9.336326,26.900154,15.607136,0.036425,0.586027,0.021346,83.218142,21.346183,0.972136,1.149433,1.74515e-13,6.150681e-09,,248.167672,199.577343,,,47.09066,2.252985e+16,0.694348,,1.249183,0.808674,-0.010023,27.783452,0.382226,,,,,-0.330927,-15,21.187021,0.059546,0.821199,59.138323,15.208752,,,43.905572,0.023999,25.168047,0.018872,"False","False",3,0.694348,"p-type",0.018,265.7,265.7,1,1,25,1,"Generalized",562,12.805557,0.331076,2.2,0,1000,115.460523,1.66e-30,"Sinton & Swanson (1987)","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",10,"True","RTD (Internal)",5,10,-0.05,2,0.01,"A",0,"21-134988","True",0,0,"Hunt",,"02/01/23 11:44:05","MultiFlash v1.60.0.3","BTF_EEPV_by Karoline.mfi",,0.65,1.437416,"True",,,0.226951,0
5,"Donald","BTF-GT-BS300-PT590","117","02/01/23 11:51:45",11.163416,0.658564,9.056177,0.469572,4.252525,57.843105,16.004988,151.722092,0.015433,0.042015,0.658564,0.034084,0.469572,0.016005,16.004988,40312.559827,4.100423,9.056177,0.469572,57.843105,4.252525,16.004988,0.015433,0.034084,0.469572,0.016005,16.004988,4.100423,5.739293,26.580083,15.709981,0.038693,0.575232,0.022257,80.439898,22.257443,1.014158,1.682118,1.790967e-13,3.364105e-08,,628.033648,310.001961,,,23.501956,2.429599e+16,0.648652,,1.235464,0.807048,-0.007990000000000001,25.071102,0.469572,,,,,-2.31464,-15,6.779106,-0.14239,0.904147,41.333521,18.795817,,,22.507752,0.029952,27.404142,0.011058,"False","False",3,0.648652,"p-type",0.018,265.7,265.7,1,1,25,1,"Generalized",562,5.633425,0.331076,2.2,0,1000,48.987846,1.66e-30,"Sinton & Swanson (1987)","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",10,"True","RTD (Internal)",5,10,-0.05,2,0.01,"A",0,"21-134988","True",0,0,"Hunt",,"02/01/23 11:51:45","MultiFlash v1.60.0.3","BTF_EEPV_by Karoline.mfi",,0.65,3.198131,"True",,,0.226951,0
6,"Donald","BTF-GT-BS300-PT565","119","02/01/23 11:53:31",9.542571000000001,0.670857,6.382727,0.37592,2.399396,37.480582,9.030469999999999,217.698127,0.041808,0.035915,0.670857,0.024022,0.37592,0.00903,9.030469999999999,57842.392243,11.108382,6.382727,0.37592,37.480582,2.399396,9.030469999999999,0.041808,0.024022,0.37592,0.00903,9.030469999999999,11.108382,10.675161,26.496136,15.432821,0.034141,0.590313,0.020154,83.647026,20.153688,0.956006,1.110559,1.462258e-13,3.599352e-09,,186.481758,164.224427,,,55.474583,2.384112e+16,0.659786,,1.255352,0.804316,-0.014942,28.23216,0.37592,,,,,-0.322957,-15,25.039492,0.119423,0.809159,60.819361,14.136464,,,46.657222,0.025676,23.463773,0.023946,"False","False",3,0.659786,"p-type",0.018,265.7,265.7,1,1,25,1,"Generalized",562,14.782041,0.331076,2.2,0,1000,157.518144,1.66e-30,"Sinton & Swanson (1987)","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",10,"True","RTD (Internal)",5,10,-0.05,2,0.01,"A",0,"21-134988","True",0,0,"Hunt",,"02/01/23 11:53:31","MultiFlash v1.60.0.3","BTF_EEPV_by Karoline.mfi",,0.65,1.19644,"True",,,0.226951,0
7,"Donald","BTF-GT-BS300-PT590","118","02/01/23 12:11:00",11.193142,0.660156,9.466194,0.5034729999999999,4.765973,64.498966,17.937421,89.00536,0.010652,0.042127,0.660156,0.035627,0.5034729999999999,0.017937,17.937421,23648.724195,2.830177,9.466194,0.5034729999999999,64.498966,4.765973,17.937421,0.010652,0.035627,0.5034729999999999,0.017937,17.937421,2.830177,3.73931,26.364972,15.584782,0.038773,0.577473,0.022391,80.511366,22.390533,1.009441,1.700021,1.669347e-13,3.286848e-08,,581.047788,292.152248,,,23.669364,2.42983e+16,0.648596,,1.23488,0.808772,-0.009542999999999999,16.346731,0.5034729999999999,,,,,-2.774609,-15,5.578837,-0.062234,0.9401969999999999,34.704209,18.628623,,,16.024329,0.051257,27.51088,0.012178,"False","False",3,0.648596,"p-type",0.018,265.7,265.7,1,1,25,1,"Generalized",562,3.671753,0.331076,2.2,0,1000,25.59676,1.66e-30,"Sinton & Swanson (1987)","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",10,"True","RTD (Internal)",5,10,-0.05,2,0.01,"A",0,"21-134988","True",0,0,"Hunt",,"02/01/23 12:11:00","MultiFlash v1.60.0.3","BTF_EEPV_by Karoline.mfi",,0.65,3.667158,"True",,,0.226951,0
