Cell_Area_(cm2),Batch_ID,Sample_ID,Efficiency_(percent),Rsh_(ohm-cm2),Rs_(ohm-cm2),n_at_1_sun,n_at_ 1/10_suns,Jo2_(A/cm2),Isc_(A),Voc_(V),FF_(percent)
243.0,Tabbed Cell Tests,SintonTabCell_2,,161062.91295,,-1.077537,-1.119658,3.710339e-09,0.000126,-0.643825,
243.0,Tabbed Cell Tests,SintonTabCell_2,17.618553,129796.460046,1.631394,1.077425,1.11761,9.046546e-09,8.988278,0.643452,74.025884
243.0,Tabbed Cell Tests,SintonTabCalCell_2,,,,,,,8.995219,,
243.0,Cell Example,SintonCellTest_1,,,,,,,8.953134,,
243.0,Cell Example,,,,,,,,,,
243.0,Cell Example,,,,,,,,,,
243.0,Cell Example,,17.979203,90863.438145,0.597835,1.319552,1.110497,1.467344e-08,8.948109,0.622285,78.461416
243.0,Initial Tests,SintonCalCell_1,17.977027,76209.777874,0.600461,1.32019,1.110003,1.473696e-08,8.949043,0.622302,78.441602
243.0,Initial Tests,SintonCell_2,18.124965,116750.457627,0.621796,1.331867,1.098315,1.309916e-08,8.999674,0.623781,78.455701
243.0,Initial Tests,WiswBiz_labCell_3,17.467567,66041.926014,0.844757,1.146734,1.091767,1.394924e-08,8.982734,0.612011,77.209588
243.0,Initial Tests,WiswBiz_labCell_4,18.201524,96758.832538,1.310036,1.090644,1.090144,6.342708e-09,9.093005,0.641293,75.848986
243.0,Tabbed Cell Tests,SintonTabCell_1,16.71443,126578.428911,1.611578,1.298,1.081945,1.136857e-08,8.883467,0.621777,73.532745
243.0,Tabbed Cell Tests,SintonTabCalCell_2,17.613966,156439.607172,1.644791,1.077409,1.11518,9.015362e-09,8.994078,0.643417,73.962908
243.0,Tabbed Cell Tests,SintonTabCalCell_2,17.611324,162130.424365,1.646629,1.075996,1.115804,9.054167e-09,8.993577,0.643444,73.952823
243.0,Tabbed Cell Tests,SintonTabCell_1,16.741234,114668.273376,1.552486,1.302087,1.086125,1.201763e-08,8.875731,0.621242,73.778373
243.0,Tabbed Cell Tests,SintonTabCell_1,16.738621,155070.049278,1.550999,1.283186,1.085139,1.216472e-08,8.874901,0.62118,73.781057
243.0,Encapsulated Cell Tests,SintonEncapCell_1,17.349322,129682.581213,1.825416,1.146754,1.084408,7.238164e-09,9.057759,0.638177,72.933472
243.0,Encapsulated Cell Tests,SintonEncapCell_2,17.682176,111968.91066,1.591125,1.084823,1.096738,7.357528e-09,8.976264,0.644021,74.326933
243.0,Encapsulated Cell Tests,SintonEncapCell_2,17.339365,135705.701004,1.588597,1.082621,1.096949,7.619702e-09,8.811305,0.64272,74.400754
243.0,Encapsulated Cell Tests,SintonEncapCell_2,17.271988,135950.506956,1.623592,1.093472,1.097362,7.756764e-09,8.811159,0.642685,74.116961
243.0,Encapsulated Cell Tests,SintonEncapCell_1,17.007177,108908.837255,1.834345,1.141917,1.083558,7.269961e-09,8.878278,0.637269,73.044426
4.177,Tonio_PVLab,Cal Cell-PVM842,,-5.5282130000000006e-17,,7.331616e-18,3.966722e-16,1e-11,0.16507,1.024092,
4.177,Tonio_PVLab,PVM842,,,,,,,,,
4.177,Tonio_PVLab,PVM842,,,,,,,,,
4.177,Tonio_PVLab,PVM842,,,,,,,,,
4.177,Tonio_PVLab,PVM842,,,,,,,,,
4.177,Tonio_PVLab,PVM842,,,,,,,,,
4.177,Tonio_PVLab,PVM842,,,,,,,,,
4.177,Tonio_PVLab,PVM842,,,,,,,,,
4.177,Tonio_PVLab,PVM842,,,,,,,,,
4.177,Tonio_PVLab,PVM842,,,,,,,,,
4.177,Tonio_PVLab,PVM842,,,,,,,,,
